name,id_production_companies,id_movies
Majestic Films International,20928.0,38722
Newcomb Productions,89873.0,38722
Wolper Organization,2428.0,8438
Warner Bros.,6194.0,8438
Paramount Pictures,4.0,11593
Capella International,594.0,11593
Cinehaus,761.0,11593
Twentieth Century Fox Film Corporation,306.0,1945
Egg Pictures,802.0,1945
PolyGram Filmed Entertainment,1382.0,1945
40 Acres & A Mule Filmworks,4319.0,39310
TOEI,7260.0,109560
Distant Justice Joint Venture,42935.0,109560
Metrodome Films,11139.0,56428
Filmwerks,7954.0,63105
Imperial Entertainment,21437.0,63105
Triumph Films,23098.0,131957
Regency Enterprises,508.0,241
Alcor Films,644.0,241
Ixtlan,4198.0,241
Warner Bros.,6194.0,241
New Regency Pictures,10104.0,241
J D Productions,68551.0,241
TriStar Pictures,559.0,9058
Avalon Studios,293.0,527
New Zealand Film Commission,294.0,527
New Zealand On Air,295.0,527
New Line Cinema,12.0,18220
CineTel Pictures,17067.0,18220
MG Entertainment,17068.0,18220
Kopelson Entertainment,824.0,6950
Punch Productions,2154.0,6950
Warner Bros.,6194.0,6950
Arnold Kopelson Productions,16775.0,6950
Columbia Pictures,5.0,101
Gaumont,9.0,101
"Samuel Goldwyn Company, The",28205.0,63020
Hollywood Pictures,915.0,2307
Miramax Films,14.0,680
A Band Apart,59.0,680
Jersey Films,216.0,680
Polygram Filmed Entertainment,31080.0,41478
Gramercy Pictures (I),31715.0,41478
MVP Films,37580.0,41478
Ang Lee Productions,5528.0,25296
BBC Films,288.0,40156
PolyGram Filmed Entertainment,1382.0,40156
Miramax,53009.0,40156
Wildwood Enterprises,316.0,11450
Hollywood Pictures,915.0,11450
Baltimore Pictures,11407.0,11450
Cecile Company,84839.0,30304
Thousand Cranes Filmworks,84840.0,30304
Renn Productions,82.0,10452
Eurimages,850.0,10452
Canal+,5358.0,10452
ARD/Degeto Film GmbH,6187.0,10452
D.A. Films,6541.0,10452
France2 Cinéma,7089.0,10452
WMG Film,8923.0,10452
Centre National de la Cinématographie (CNC),18367.0,10452
N.E.F. Filmproduktion und Vertriebs GmbH,18495.0,10452
Miramax,53009.0,10452
RCS Films & TV,75913.0,10452
TriStar Pictures,559.0,12106
Hollywood Pictures,915.0,161495
Interscope Communications,10201.0,161495
Nomura Babcock & Brown,12883.0,161495
Miramax Films,14.0,3586
Zespół Filmowy TOR,38.0,110
Le Studio Canal+,183.0,110
France 3 Cinéma,591.0,110
Télévision Suisse-Romande,1245.0,110
France 3 Cinéma,591.0,108
CED Productions,1610.0,108
Le Studio Canal+,183.0,109
France 3 Cinéma,591.0,109
Eurimages,850.0,109
Allegro Films,4899.0,92769
Norstar Entertainment,16953.0,92769
west wind entertainment,24946.0,92769
Paramount Pictures,4.0,28033
Rich Animation Studios,4108.0,22586
Jones Entertainment Group,29272.0,14334
Skerry Productions,29273.0,14334
Jerry Weintraub Productions,2596.0,2636
Warner Bros.,6194.0,2636
Iguana Producciones,11134.0,2636
Centropolis Entertainment,347.0,2164
StudioCanal,694.0,2164
Carolco Entertainment,10320.0,2164
Walt Disney Pictures,2.0,11395
Hollywood Pictures,915.0,11395
Castle Rock Entertainment,97.0,278
Warner Bros.,6194.0,278
Channel Four Films,181.0,9905
Figment Films,359.0,9905
The Glasgow Film Fund,980.0,9905
PolyGram Filmed Entertainment,1382.0,9905
Kino Korsakoff,78701.0,87078
Miramax Films,14.0,12527
Tabasco films,6647.0,12527
Instituto Mexicano de Cinematografía (IMCINE),8861.0,12527
TeleMadrid,10015.0,12527
Cineville,2832.0,20306
Trimark Pictures,4063.0,20306
Samuel Goldwyn Company,798.0,36614
New Line Cinema,12.0,27993
1992 Number Four Limited Partnership,4733.0,27993
MHA,4734.0,27993
Shanghai Film Studios,1078.0,31439
Era International Ltd,25299.0,31439
Trilogy Entertainment Group,2231.0,9067
Universal Pictures,33.0,9059
Tales From The Crypt Holdings,69626.0,9059
Paramount Pictures,4.0,193
40 Acres & A Mule Filmworks,4319.0,25066
Savoy Pictures,11308.0,25066
Universal Pictures,33.0,12122
Paramount Pictures,4.0,11381
Sony Pictures Classics,58.0,32636
Populist Pictures,14729.0,36141
Savoy Pictures,11308.0,95963
Price Entertainment,23808.0,95963
"Jackson/McHenry Company,The",37350.0,95963
Paramount Pictures,4.0,1587
Paramount Pictures,4.0,9271
Caravan Pictures,175.0,2064
Hollywood Pictures,915.0,2064
Universal Pictures,33.0,19855
Fine Line Features,8.0,60855
Téléfilm Canada,806.0,60855
First Generation Films,4908.0,60855
National Film Board of Canada (NFB),17027.0,60855
British Columbia Film Commission,36024.0,60855
Ciby 2000,105.0,236
Film Victoria,11840.0,236
House & Moorhouse Films,39250.0,236
Columbia Pictures Corporation,441.0,48287
Beacon Pictures,10157.0,48287
Warner Bros.,6194.0,3049
Morgan Creek Productions,10210.0,3049
PolyGram Filmed Entertainment,1382.0,2759
Gramercy Pictures,37.0,12635
Fine Line Features,8.0,10497
R.P. Productions,355.0,10497
Columbia Pictures Corporation,441.0,10497
Les Films Alain Sarde,635.0,10497
Canal+,5358.0,10497
Timothy Burrill Productions,8131.0,10497
Miramax Films,14.0,11382
Paramount Pictures,4.0,9331
Mace Neufeld Productions,2767.0,9331
Regency Enterprises,508.0,10731
Alcor Films,644.0,10731
Warner Bros.,6194.0,10731
New Line Cinema,12.0,10464
Universal Pictures,33.0,34152
40 Acres & A Mule Filmworks,4319.0,34152
Miramax Films,14.0,9495
Crowvision Inc.,4028.0,9495
Entertainment Media Investment Corporation,4029.0,9495
Jeff Most Productions,4030.0,9495
Edward R. Pressman Film,6455.0,9495
Regency Enterprises,508.0,29973
Alcor Films,644.0,29973
Warner Bros.,6194.0,29973
Aleor Films,16823.0,29973
Universal Pictures,33.0,888
Amblin Entertainment,56.0,888
Hanna-Barbera Productions,1353.0,888
Paramount Pictures,4.0,13
Channel Four Films,181.0,712
PolyGram Filmed Entertainment,1382.0,712
Working Title Films,10163.0,712
Columbia Pictures Corporation,441.0,16295
New Deal Productions,1947.0,16295
Columbia Pictures Corporation,441.0,48992
Think Again Productions,37294.0,48992
Riot of Color,37295.0,48992
Caravan Pictures,175.0,10879
Touchstone Pictures,9195.0,10879
TriStar Pictures,559.0,10660
Channel Four Films,181.0,41647
Arte,201.0,41647
Zweites Deutsches Fernsehen (ZDF),4606.0,41647
Nomad Films,12914.0,41647
Omega Film GmbH,12915.0,41647
Without Walls,12916.0,41647
Walt Disney Pictures,2.0,8587
Walt Disney Feature Animation,10217.0,8587
Miramax Films,14.0,1689
New Line Cinema,12.0,11596
New Line Cinema,12.0,854
Dark Horse Entertainment,552.0,854
Icon Entertainment International,4564.0,9359
Warner Bros.,6194.0,9359
Fine Line Features,8.0,23333
Miramax Films,14.0,23333
Paramount Pictures,4.0,36593
Imagine Entertainment,23.0,12280
Universal Pictures,33.0,12280
Universal Pictures,33.0,2788
Jersey Films,216.0,2788
Propaganda Films,278.0,10427
PolyGram Filmed Entertainment,1382.0,10427
Davis Entertainment,1302.0,11011
Silver Pictures,1885.0,11011
Warner Bros.,6194.0,11011
New Line Cinema,12.0,49803
